Maxi Prin Strs,Mini Prin Strs,Sa,Sm,Sn',Sn,b,b',N',N,Predicted,Cycles
-5107.5,-240412.5,117706.75,-122705.75,162.4549342,724.5501688,-0.830339257,-1.204327016,1.90671097,0.459669157,460053.12,459669.1572
-4999,-240277,117693.25,-122583.75,162.2944079,725.1836433,-0.830322653,-1.204351099,1.908378009,0.459178471,459573.34,459178.4708
-4890.5,-240141.5,117679.75,-122461.75,162.1338816,725.8183722,-0.830306047,-1.204375186,1.910048348,0.458687755,459093.53,458687.7545
-4782,-240006,117666.25,-122339.75,161.9733553,726.4543592,-0.830289439,-1.204399277,1.911721998,0.458197009,458613.62,458197.0086
-4673.5,-239870.5,117652.75,-122217.75,161.8128289,727.091608,-0.830272829,-1.204423372,1.913398969,0.457706233,458133.88,457706.233
-4565,-239735,117639.25,-122095.75,161.6523026,727.7301225,-0.830256217,-1.20444747,1.91507927,0.457215428,457654,457215.428
-4456.5,-239599.5,117625.75,-121973.75,161.4917763,728.3699064,-0.830239603,-1.204471572,1.916762912,0.456724594,457174.2,456724.5937
-4348,-239464,117612.25,-121851.75,161.33125,729.0109635,-0.830222987,-1.204495678,1.918449904,0.45623373,456694.38,456233.73
-4239.5,-239328.5,117598.75,-121729.75,161.1707237,729.6532975,-0.83020637,-1.204519788,1.920140257,0.455742837,456214.53,455742.8373
-4131,-239193,117585.25,-121607.75,161.0101974,730.2969124,-0.83018975,-1.204543901,1.92183398,0.455251915,455734.75,455251.9155
-4022.5,-239057.5,117571.75,-121485.75,160.8496711,730.9418119,-0.830173129,-1.204568018,1.923531084,0.454760965,455254.94,454760.9648
-3914,-238922,117558.25,-121363.75,160.6891447,731.5879999,-0.830156505,-1.204592139,1.925231579,0.454269985,454775.06,454269.9853
-3805.5,-238786.5,117544.75,-121241.75,160.5286184,732.2354802,-0.83013988,-1.204616263,1.926935474,0.453778977,454295.25,453778.9771
-3697,-238651,117531.25,-121119.75,160.3680921,732.8842568,-0.830123253,-1.204640391,1.928642781,0.45328794,453815.4,453287.9403
-3588.5,-238515.5,117517.75,-120997.75,160.2075658,733.5343335,-0.830106624,-1.204664523,1.930353509,0.452796875,453335.56,452796.8751
-3480,-238380,117504.25,-120875.75,160.0470395,734.1857143,-0.830089993,-1.204688659,1.932067669,0.452305781,452855.75,452305.7815
-3371.5,-238244.5,117490.75,-120753.75,159.8865132,734.8384031,-0.83007336,-1.204712798,1.933785271,0.45181466,452375.94,451814.6597
-3263,-238109,117477.25,-120631.75,159.7259868,735.4924037,-0.830056725,-1.204736941,1.935506326,0.45132351,451896.06,451323.5098
-3154.5,-237973.5,117463.75,-120509.75,159.5654605,736.1477203,-0.830040088,-1.204761088,1.937230843,0.450832332,451416.25,450832.3318
-3046,-237838,117450.25,-120387.75,159.4049342,736.8043567,-0.83002345,-1.204785239,1.938958833,0.450341126,450936.44,450341.126
-2937.5,-237702.5,117436.75,-120265.75,159.2444079,737.4623169,-0.830006809,-1.204809393,1.940690308,0.449849892,450456.56,449849.8924
-2829,-237567,117423.25,-120143.75,159.0838816,738.121605,-0.829990167,-1.204833551,1.942425276,0.449358631,449976.8,449358.6312
-2720.5,-237431.5,117409.75,-120021.75,158.9233553,738.782225,-0.829973522,-1.204857713,1.94416375,0.448867342,449496.94,448867.3424
-2612,-237296,117396.25,-119899.75,158.7628289,739.4441808,-0.829956876,-1.204881879,1.945905739,0.448376026,449017.06,448376.0262
-2503.5,-237160.5,117382.75,-119777.75,158.6023026,740.1074767,-0.829940228,-1.204906048,1.947651254,0.447884683,448537.22,447884.6827
-2395,-237025,117369.25,-119655.75,158.4417763,740.7721166,-0.829923578,-1.204930221,1.949400307,0.447393312,448057.38,447393.312
-2286.5,-236889.5,117355.75,-119533.75,158.28125,741.4381046,-0.829906926,-1.204954398,1.951152907,0.446901914,447577.56,446901.9143
-2178,-236754,117342.25,-119411.75,158.1207237,742.1054449,-0.829890272,-1.204978579,1.952909066,0.44641049,447097.7,446410.4896
-2069.5,-236618.5,117328.75,-119289.75,157.9601974,742.7741416,-0.829873616,-1.205002763,1.954668794,0.445919038,446617.88,445919.038
-1961,-236483,117315.25,-119167.75,157.7996711,743.4441987,-0.829856958,-1.205026951,1.956432102,0.44542756,446143.7,445427.5597
-1852.5,-236347.5,117301.75,-119045.75,157.6391447,744.1156205,-0.829840298,-1.205051143,1.958199001,0.444936055,445676.8,444936.0549
-1744,-236212,117288.25,-118923.75,157.4786184,744.7884111,-0.829823637,-1.205075339,1.959969503,0.444444524,445209.06,444444.5235
-1635.5,-236076.5,117274.75,-118801.75,157.3180921,745.4625748,-0.829806973,-1.205099538,1.961743618,0.443952966,444740.88,443952.9658
-1527,-235941,117261.25,-118679.75,157.1575658,746.1381157,-0.829790308,-1.205123741,1.963521357,0.443461382,444272.66,443461.3819
-1418.5,-235805.5,117247.75,-118557.75,156.9970395,746.815038,-0.82977364,-1.205147948,1.965302732,0.442969772,443804.44,442969.7718
-1310,-235670,117234.25,-118435.75,156.8365132,747.493346,-0.829756971,-1.205172159,1.967087753,0.442478136,443336.28,442478.1357
-1201.5,-235534.5,117220.75,-118313.75,156.6759868,748.173044,-0.8297403,-1.205196373,1.968876432,0.441986474,442868.12,441986.4737
-1093,-235399,117207.25,-118191.75,156.5154605,748.8541362,-0.829723627,-1.205220591,1.97066878,0.441494786,442399.88,441494.786
-984.5,-235263.5,117193.75,-118069.75,156.3549342,749.536627,-0.829706952,-1.205244813,1.972464808,0.441003073,441931.7,441003.0726
-876,-235128,117180.25,-117947.75,156.1944079,750.2205206,-0.829690275,-1.205269039,1.974264528,0.440511334,441463.47,440511.3337
-767.5,-234992.5,117166.75,-117825.75,156.0338816,750.9058213,-0.829673596,-1.205293269,1.976067951,0.440019569,440995.3,440019.5695
-659,-234857,117153.25,-117703.75,155.8733553,751.5925336,-0.829656915,-1.205317502,1.977875088,0.43952778,440527.06,439527.7799
-550.5,-234721.5,117139.75,-117581.75,155.7128289,752.2806617,-0.829640232,-1.205341739,1.979685952,0.439035965,440058.88,439035.9652
-442,-234586,117126.25,-117459.75,155.5523026,752.9702101,-0.829623547,-1.20536598,1.981500553,0.438544125,439589.5,438544.1254
-333.5,-234450.5,117112.75,-117337.75,155.3917763,753.6611832,-0.829606861,-1.205390224,1.983318903,0.438052261,439119.06,438052.2607
-225,-234315,117099.25,-117215.75,155.23125,754.3535854,-0.829590172,-1.205414473,1.985141014,0.437560371,438648.62,437560.3713
-116.5,-234179.5,117085.75,-117093.75,155.0707237,755.0474211,-0.829573482,-1.205438725,1.986966898,0.437068457,438178.2,437068.4571
-8,-234044,117022,-117022,154.9763158,755.0960249,-0.82949464,-1.205553299,1.987094802,0.437000162,437735.5,437000.1621
