,Maxi Prin Strs,Mini Prin Strs,Sa,Sm,Sn',Sn,b,b',N',N,XGBOOST
531,-15306.5,-253149.5,118975.75,-134173.75,177.54440789473685,670.1182617395574,-0.8318916181902014,-1.2020796677522994,1.7634691098409405,0.5056455723410346,503889.1
532,-15198.0,-253014.0,118962.25,-134051.75,177.38388157894738,670.6485896073599,-0.8318751910102582,-1.2021034054225914,1.7648647094930523,0.5051581488318294,503889.1
533,-15089.5,-252878.5,118948.75,-133929.75,177.22335526315788,671.1798782015707,-0.8318587619660303,-1.2021271467245012,1.7662628373725544,0.5046706861496757,503889.1
534,-14981.0,-252743.0,118935.25,-133807.75,177.06282894736842,671.7121301351922,-0.8318423310570943,-1.2021508916590158,1.7676635003557688,0.5041831843838099,503721.22
535,-14872.5,-252607.5,118921.75,-133685.75,176.90230263157895,672.2453480307113,-0.831825898283027,-1.2021746402271214,1.769066705343977,0.503695643623675,503721.22
536,-14764.0,-252472.0,118908.25,-133563.75,176.74177631578948,672.7795345201425,-0.8318094636434048,-1.2021983924298054,1.770472459263533,0.5032080639589207,503577.0
537,-14655.5,-252336.5,118894.75,-133441.75,176.58125,673.3146922450712,-0.8317930271378043,-1.2022221482680553,1.771880769065977,0.5027204454794039,503577.0
538,-14547.0,-252201.0,118881.25,-133319.75,176.42072368421051,673.8508238566973,-0.8317765887658015,-1.2022459077428593,1.7732916417281508,0.5022327882751891,503577.0
539,-14438.5,-252065.5,118867.75,-133197.75,176.26019736842105,674.3879320158782,-0.8317601485269727,-1.2022696708552052,1.7747050842523109,0.5017450924365501,503577.0
540,-14330.0,-251930.0,118854.25,-133075.75,176.09967105263158,674.9260193931741,-0.8317437064208935,-1.202293437606082,1.7761211036662476,0.5012573580539681,503577.0
541,-14221.5,-251794.5,118840.75,-132953.75,175.9391447368421,675.4650886688916,-0.83172726244714,-1.2023172079964788,1.777539707023399,0.5007695852181346,499093.56
542,-14113.0,-251659.0,118827.25,-132831.75,175.77861842105264,676.0051425331279,-0.8317108166052878,-1.202340982027385,1.7789609014029681,0.5002817740199508,499093.56
543,-14004.5,-251523.5,118813.75,-132709.75,175.61809210526314,676.5461836858165,-0.8316943688949123,-1.2023647596997904,1.7803846939100434,0.4997939245505276,499093.56
544,-13896.0,-251388.0,118800.25,-132587.75,175.45756578947368,677.0882148367708,-0.8316779193155891,-1.2023885410146848,1.7818110916757126,0.4993060369011878,499093.56
545,-13787.5,-251252.5,118786.75,-132465.75,175.2970394736842,677.6312387057307,-0.831661467866893,-1.20241232597306,1.783240101857186,0.4988181111634647,498797.1
546,-13679.0,-251117.0,118773.25,-132343.75,175.13651315789474,678.1752580224073,-0.8316450145483995,-1.2024361145759057,1.784671731637914,0.49833014742910403,498457.28
547,-13570.5,-250981.5,118759.75,-132221.75,174.97598684210527,678.720275526529,-0.8316285593596833,-1.2024599068242139,1.786105988227708,0.4978421457900636,497716.06
548,-13462.0,-250846.0,118746.25,-132099.75,174.8154605263158,679.2662939678871,-0.8316121023003191,-1.2024837027189765,1.787542878862861,0.49735410633851457,497716.06
549,-13353.5,-250710.5,118732.75,-131977.75,174.6549342105263,679.8133161063828,-0.8315956433698817,-1.2025075022611855,1.7889824108062704,0.496866029166841,497716.06
550,-13245.0,-250575.0,118719.25,-131855.75,174.49440789473684,680.3613447120723,-0.8315791825679455,-1.2025313054518334,1.7904245913475587,0.49637791436764156,495515.7
551,-13136.5,-250439.5,118705.75,-131733.75,174.33388157894737,680.9103825652153,-0.8315627198940849,-1.2025551122919131,1.7918694278031981,0.49588976203372925,495515.7
552,-13028.0,-250304.0,118692.25,-131611.75,174.1733552631579,681.4604324563209,-0.8315462553478743,-1.2025789227824177,1.7933169275166339,0.4954015722581319,495311.34
553,-12919.5,-250168.5,118678.75,-131489.75,174.01282894736843,682.011497186195,-0.8315297889288873,-1.2026027369243417,1.794767097858408,0.494913345134093,495311.34
554,-12811.0,-250033.0,118665.25,-131367.75,173.85230263157894,682.5635795659882,-0.8315133206366982,-1.2026265547186783,1.796219946226285,0.49442508075507247,494744.8
555,-12702.5,-249897.5,118651.75,-131245.75,173.69177631578947,683.1166824172432,-0.8314968504708805,-1.2026503761664225,1.7976754800453767,0.49393677921474666,494744.8
556,-12594.0,-249762.0,118638.25,-131123.75,173.53125,683.6708085719431,-0.831480378431008,-1.202674201268569,1.7991337067682713,0.49344844060700893,494744.8
557,-12485.5,-249626.5,118624.75,-131001.75,173.37072368421053,684.2259608725598,-0.8314639045166541,-1.202698030026113,1.8005946338751573,0.49296006502597073,494744.8
558,-12377.0,-249491.0,118611.25,-130879.75,173.21019736842106,684.7821421721022,-0.8314474287273922,-1.2027218624400502,1.8020582688739533,0.4924716525659615,494744.8
559,-12268.5,-249355.5,118597.75,-130757.75,173.04967105263157,685.3393553341659,-0.8314309510627953,-1.2027456985113767,1.8035246193004366,0.49198320332152984,494744.8
560,-12160.0,-249220.0,118584.25,-130635.75,172.8891447368421,685.8976032329813,-0.8314144715224367,-1.2027695382410886,1.8049936927183718,0.4914947173874434,489036.94
561,-12051.5,-249084.5,118570.75,-130513.75,172.72861842105263,686.4568887534637,-0.831397990105889,-1.2027933816301835,1.8064654967196412,0.4910061948586895,489036.94
562,-11943.0,-248949.0,118557.25,-130391.75,172.56809210526316,687.0172147912627,-0.8313815068127252,-1.2028172286796577,1.8079400389243756,0.49051763583047664,489036.94
563,-11834.5,-248813.5,118543.75,-130269.75,172.4075657894737,687.5785842528128,-0.8313650216425177,-1.202841079390509,1.8094173269810863,0.49002904039823375,489036.94
564,-11726.0,-248678.0,118530.25,-130147.75,172.2470394736842,688.1410000553826,-0.8313485345948393,-1.2028649337637356,1.8108973685667964,0.4895404086576114,489036.94
565,-11617.5,-248542.5,118516.75,-130025.75,172.08651315789473,688.7044651271259,-0.8313320456692617,-1.2028887918003361,1.8123801713871734,0.4890517407044825,489036.94
566,-11509.0,-248407.0,118503.25,-129903.75,171.92598684210526,689.2689824071329,-0.8313155548653577,-1.2029126535013084,1.8138657431766654,0.4885630366349425,489036.94
